# Rime user dictionary
#@/db_name	custom.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	532
#@/user_id	.backup
a 	啊	c=2 d=0.293948 t=530
an jian 	安监	c=-1 d=0 t=529
an jian 	按键	c=-1 d=0.995012 t=530
an jian 	案件	c=-1 d=0 t=529
an zhuang 	安装	c=0 d=0.0798516 t=530
an zhuang xuan xiang 	安装选项	c=1 d=0.802519 t=530
ba 	把	c=1 d=0.348142 t=530
ba hou mian 	把后面	c=1 d=0.316637 t=530
ba nong 	把弄	c=-1 d=0 t=530
ba nong ha n 	把农哈嗯	c=-1 d=0.628135 t=532
bei fen 	备份	c=2 d=0.445147 t=530
ben di 	本地	c=0 d=0.0909373 t=530
ben di cang ku 	本地仓库	c=1 d=0.913931 t=530
bi ru 	比如	c=2 d=1.21003 t=530
bian yuan 	边缘	c=4 d=1.37895 t=530
biao 	标	c=1 d=0.404119 t=530
biao shi 	表示	c=1 d=0.941765 t=530
bu 	不	c=5 d=1.90683 t=530
bu diao 	不掉	c=0 d=0.1 t=531
bu ding 	补丁	c=2 d=1.18607 t=530
bu ding yi 	不定义	c=1 d=0.396531 t=530
bu duan 	不断	c=1 d=0.748264 t=530
bu ru 	不如	c=1 d=0.603506 t=530
bu tai 	步态	c=0 d=0.0379083 t=530
bu tai dong 	不台东	c=2 d=1 t=530
bu tai dong 	步态懂	c=-1 d=0.380983 t=530
bu xing 	不行	c=0 d=0.0486752 t=530
bu zhuan huan 	不转换	c=1 d=0.463013 t=530
can kan 	参看	c=1 d=0.843665 t=530
cang ku 	仓库	c=0 d=0.28214 t=530
cao zuo 	操作	c=1 d=0.170308 t=530
cao zuo ru xia 	操作如下	c=1 d=0.154896 t=530
ce shi 	测试	c=4 d=2.44879 t=530
cha 	查	c=2 d=1.99501 t=530
cha kan 	查看	c=3 d=2.07755 t=530
chan sheng 	产生	c=1 d=0.255388 t=530
chan sheng de 	产生的	c=1 d=0.149569 t=530
chang tian 	长天	c=0 d=0.0117655 t=530
chang yong 	常用	c=1 d=0.937067 t=530
cheng ci 	成词	c=1 d=0.424839 t=530
chong 	重	c=1 d=0.241714 t=530
chong zhi 	重置	c=1 d=0.241714 t=530
chou 	丑	c=2 d=0.670755 t=530
chu 	处	c=2 d=0.554687 t=530
chu 	除	c=1 d=0.276651 t=530
chu shi 	初始	c=2 d=1.13388 t=530
chu shi hua 	初始化	c=2 d=1.82789 t=530
chuang kou 	窗口	c=4 d=1.37208 t=530
ci 	此	c=1 d=0.995012 t=530
ci 	词	c=10 d=2.30079 t=530
ci chu 	此处	c=2 d=1.23448 t=530
ci dian 	词典	c=5 d=1.23838 t=530
ci ku 	词库	c=28 d=8.43481 t=530
ci pin 	词频	c=2 d=0.496908 t=530
ci zu 	词组	c=1 d=0.852144 t=530
cun chu 	存储	c=0 d=0.0856415 t=530
cun chu zai 	存储在	c=1 d=0.860708 t=530
da 	打	c=-2 d=0.563069 t=530
dai ma 	代码	c=7 d=3.81698 t=530
dai ma you wu 	代码有误	c=1 d=0.628135 t=530
dan yin hao 	单引号	c=2 d=0.64124 t=530
dan zai 	但在	c=2 d=0.811111 t=530
dao ru 	导入	c=-3 d=0.975169 t=530
dao ru ci ku 	导入词库	c=-1 d=0.88692 t=530
de 	的	c=19 d=6.16131 t=530
de ge 	的歌	c=-1 d=0.0170333 t=530
de ge shi 	的歌是	c=-1 d=0.171187 t=530
de wen ti 	的问题	c=1 d=0.918512 t=530
di yi 	第一	c=-1 d=0.175147 t=530
di yi hang 	第一行	c=-1 d=0.148081 t=530
di zhi 	地址	c=2 d=0.463314 t=530
dian 	点	c=0 d=0.099005 t=530
dian jin qu 	点进去	c=1 d=0.995012 t=530
