# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1030
#@/user_id	.backup
a 	啊	c=5 d=4.90637 t=1030
ai 	愛	c=2 d=0.0397816 t=1030
ai ai 	愛愛	c=0 d=0.0499074 t=1030
ai ai a 	愛愛啊	c=1 d=0.501576 t=1030
ai hao zhe 	愛好者	c=2 d=1.3373 t=1030
an 	安	c=1 d=0.064894 t=1030
an pai 	安排	c=4 d=0.245608 t=1030
an xia 	按下	c=2 d=0.14308 t=1030
an zhao 	按照	c=1 d=0.755675 t=1030
an zhao jiao cheng 	按照教程	c=1 d=0.687289 t=1030
an zhuang 	安裝	c=16 d=5.91304 t=1030
an zhuo 	安卓	c=2 d=0.172157 t=1030
ao 	奧	c=1 d=0.755784 t=1030
ba 	吧	c=4 d=1.49562 t=1030
ba nong 	吧農汗	c=1 d=0.0963276 t=1030
ba nong ha neng 	吧儂哈能	c=1 d=0.0335406 t=1030
ba yue 	八月	c=2 d=0.436332 t=1030
bai du 	百度	c=12 d=4.15809 t=1030
bai shai 	白曬	c=1 d=0.0197421 t=1030
ban 	板	c=1 d=0.167872 t=1030
ban 	版	c=1 d=0.859425 t=1030
ban 	辦	c=0 d=0.00816756 t=1030
ban ben 	版本	c=2 d=1.10037 t=1030
ban ji 	班級	c=2 d=0.0599436 t=1030
bang 	棒	c=2 d=0.194106 t=1030
bang ding 	綁定	c=2 d=0.173887 t=1030
bang zhu 	幫助	c=2 d=0.985752 t=1030
bao 	包	c=1 d=0.0944066 t=1030
bao bei 	報備	c=2 d=1.18016 t=1030
bao guan li qi 	包管理器	c=1 d=0.0858632 t=1030
bao han 	包含	c=1 d=0.923116 t=1030
bao ming 	報名	c=2 d=0.0659175 t=1030
bao ta 	寶塔	c=2 d=0.172157 t=1030
bao ya 	寶鴨	c=2 d=0.171298 t=1030
bei fen 	備份	c=4 d=3.97017 t=1030
bei lu 	北路	c=3 d=0.176504 t=1030
bei lv 	倍率	c=4 d=1.52398 t=1030
ben ke 	本科	c=2 d=0.125011 t=1030
bi 	嗶	c=1 d=0.0209629 t=1030
bi 	幣	c=1 d=1 t=1035
bi ji 	筆記	c=2 d=0.406834 t=1030
bi ji ben 	筆記本	c=5 d=2.13988 t=1030
bi li 	嗶哩	c=3 d=0.0630999 t=1030
bi xu 	必須	c=2 d=0.971076 t=1030
bi ye 	畢業	c=8 d=7.17648 t=1030
bi ye sheng 	畢業生	c=2 d=0.272709 t=1030
bian ji 	編輯	c=6 d=4.41186 t=1030
biao da shi 	表達式	c=3 d=2.64513 t=1030
biao ti 	標題	c=2 d=0.0692972 t=1030
bin 	彬	c=1 d=0.0387742 t=1030
bing ji 	病機	c=1 d=0.0298969 t=1030
bing mei you 	並沒有	c=2 d=0.722996 t=1030
bo 	博	c=1 d=0.329362 t=1030
bo fang 	播放	c=2 d=0.0471533 t=1030
bo fang qi 	播放器	c=4 d=1.94393 t=1030
bo shi dun 	波士頓	c=4 d=0.951847 t=1030
bu 	不	c=1 d=0.71177 t=1030
bu 	補	c=1 d=0.886389 t=1030
bu fen 	部分	c=1 d=1.099 t=1030
bu shang qu 	不上去	c=2 d=0.560382 t=1030
bu shi 	不失	c=3 d=1.39334 t=1030
bu shi 	不是	c=2 d=0.848444 t=1030
bu shi 	不適	c=1 d=0.511709 t=1030
bu shi 	布什	c=2 d=0.514274 t=1030
bu tai 	不太	c=1 d=0.835076 t=1030
bu tai xing 	不太行	c=1 d=0.873716 t=1030
bu tong 	不同	c=2 d=1.99501 t=1030
bu xiang 	不想	c=3 d=0.103117 t=1030
bu xin 	不信	c=0 d=0.0514274 t=1030
bu xing 	不行	c=1 d=0.576347 t=1030
bu yao 	不要	c=2 d=0.119511 t=1030
bu yong 	不用	c=1 d=0.035951 t=1030
bu yun xu 	不允許	c=1 d=0.50409 t=1030
bu zhi dao 	不知道	c=5 d=0.707184 t=1030
cai 	彩	c=2 d=1.03556 t=1030
cai 	才	c=2 d=0.748264 t=1030
cai 	菜	c=1 d=1.099 t=1025
cai dan 	菜單	c=2 d=1.99501 t=1043
cai he 	彩盒	c=1 d=0.0203434 t=1030
cai hong 	彩虹	c=6 d=0.465392 t=1030
cai hui 	纔會	c=1 d=0.0204453 t=1030
cai liu 	彩六	c=1 d=0.126186 t=1030
cang qiong 	蒼穹	c=2 d=1.02999 t=1030
cao 	操	c=5 d=2.09878 t=1030
cao 	曹	c=3 d=1.6058 t=1030
cao 	草	c=4 d=2.09089 t=1030
cao zuo 	操作	c=3 d=1.38493 t=1030
cao zuo fu 	操作副	c=-1 d=0.0742735 t=1030
cao zuo fu 	操作符	c=1 d=0.07502 t=1030
ce shi 	測試	c=10 d=5.06649 t=1030
ce shi yi 	測試儀	c=0 d=0.0211189 t=1030
ce shi yi xia 	測試儀下	c=1 d=0.212248 t=1030
cha 	查	c=2 d=1 t=1030
cha jian 	插件	c=9 d=4.54185 t=1030
cha kan 	查看	c=6 d=1.95597 t=1030
cha xun 	查詢	c=1 d=0.0213864 t=1030
cha zi liao 	查資料	c=3 d=0.701173 t=1030
cha zuo liao 	查佐料	c=1 d=0.240508 t=1030
chang 	場	c=2 d=0.990693 t=1030
chang du 	長度	c=2 d=0.146702 t=1030
chang jia 	廠家	c=1 d=1 t=1012
chang jiang 	長江	c=2 d=1.99501 t=1013
chen 	陳	c=3 d=1.43535 t=1030
chen cuo nen cheng 	陳錯嫩城	c=1 d=0.465334 t=1030
cheng 	城	c=2 d=0.0481059 t=1030
cheng 	成	c=1 d=1.099 t=1030
cheng xu 	程序	c=2 d=1.66637 t=1030
chi 	吃	c=1 d=0.5975 t=1030
chi ku 	吃苦	c=4 d=0.213501 t=1030
chi ku nan 	吃苦男	c=-1 d=0.0685631 t=1030
chi zi 	尺子	c=2 d=1.29777 t=1030
chi zi 	赤字	c=1 d=0.647265 t=1030
chong dian 	充電	c=1 d=0.0992863 t=1030
chong dian ban 	充電板	c=1 d=0.0824965 t=1030
chong dian ban 	充電辦	c=-1 d=0.082085 t=1030
chong xin 	重新	c=70 d=36.0931 t=1030
chong xiu 	重修	c=6 d=0.198868 t=1030
chu 	出	c=1 d=0.0318856 t=1030
chu 	處	c=4 d=3.97017 t=1030
chu fa 	出發	c=-1 d=3.22193 t=1030
chu fa 	觸發	c=9 d=7.2013 t=1030
chu ku 	出庫	c=1 d=0.0473589 t=1030
chu la sheng 	處拉昇	c=-1 d=0 t=1030
chu li 	處理	c=1 d=1.0995 t=1030
chu li cheng 	處理成	c=1 d=1 t=1030
chu shi 	初始	c=2 d=0.348418 t=1030
chuan 	串	c=2 d=0.143797 t=1030
